Altium Designer Pick and Place Locations
C:\BoxSynergy\Summits7Beta\Project Outputs for Summits7Beta\Generates pick and place files\Pick Place for Summits7Beta_PCB2.txt

========================================================================================================================
File Design Information:

Date:       15/07/20
Time:       19:05
Revision:   3849dfc8369d651bf2eff8e13b6e02ddddf13be9
Variant:    No variations
Units used: mil

Designator Comment            Layer       Footprint                       Center-X(mil) Center-Y(mil) Rotation Description                                                                                   
J_USB      CQ-USB-AFFS90      TopLayer    USB-A__IPX8                     1230.315      353.543       360      "Conector del USB   --   CQ-USB-AFFS90"                                                       
Cb1        4.7uF              BottomLayer CAP_0603                        1759.842      705.860       270      "Capac Ceramic SMD"                                                                           
J_Solar    Connx2_Panel       TopLayer    PANEL_IN                        2177.165      448.819       90       "Conector del Panel"                                                                          
RqT        R_Trimmer_1K       TopLayer    RES_TRIMMER                     2322.835      602.362       90       "Trimmer Resistor SMD 1kohm"                                                                  
Rq2        33                 BottomLayer RES_0603                        1939.961      515.748       90       "Resistor SMD"                                                                                
La2        2.2nH              TopLayer    IND_0402                        770.669       812.152       90       "Inductor SMD 0402"                                                                           
Ca4        2.4pF              TopLayer    CAP_0402                        727.360       879.929       90       "Capac Ceramic SMD"                                                                           
Ca3        3.0pF              TopLayer    CAP_0402                        815.945       747.247       270      "Capac Ceramic SMD"                                                                           
Antenna    AntennaCeramic     TopLayer    ANTENNA_CERAMIC_SUMMITS         501.980       864.181       360      "Antena de Cer�mica"                                                                          
Rd2        6.8K               TopLayer    RES_0603                        630.905       589.961       90       "Resistor SMD"                                                                                
Cd4        2.2uF              TopLayer    CAP_0603                        745.276       613.189       180      "Capac Ceramic SMD"                                                                           
Ra5        5K                 BottomLayer RES_0603                        1322.835      616.142       180      "Resistor SMD"                                                                                
RdT        R_Trimmer_20K      TopLayer    RES_TRIMMER                     141.732       429.134       270      "Trimmer Resistor SMD 20kohm"                                                                 
Y          ABM8-26MHz         TopLayer    ABM8-26_OSCSC320X250X100N       929.282       889.764       180      "26MHz ±10ppm Crystal 10pF 50 Ohms 4-SMD, No Lead"                                           
U6         LT1117IST-3.3      BottomLayer LT1117IST-3.3_SOT-223           629.921       484.252       180      "LDO Regulator Pos 3.3V 0.8A Automotive 4-Pin_3+Tab_ SOT-223 Tube"                            
U5         AP65111AWU-7       TopLayer    AP65111A-SOT23-6                2027.559      217.520       180      "Buck Switching Regulator IC Positive Adjustable 0.8V 1 Output 1.5A SOT-23-6 Thin, TSOT-23-6" 
U4         MCP6001T-E/LT      TopLayer    MCP6001-SC70-5                  429.134       299.213       90       "OP AMP - 1.8V 1MHz  Single Supply"                                                           
U3         INA219BIDCNR       TopLayer    INA219B_SOT23                   602.461       271.654       180      "Current Monitor Regulator High-Side 10mA SOT-23-8"                                           
U2         W25Q32JVSSIQ       TopLayer    W25Q32JVSSIQ_SOIC127P790X216-8N 1673.228      811.024       360      "FLASH - NOR Memory IC 32Mb _4M x 8_ SPI - Quad I/O 133MHz 8-SOIC"                            
U1         ESP8266EX          TopLayer    ESP8266_QFN32-5X5MM             1212.598      763.779       0        "Microcontrolador ESP8266"                                                                    
Rq1        1K                 TopLayer    RES_0603                        1801.772      641.732       180      "Resistor SMD"                                                                                
Re3        59K                TopLayer    RES_0603                        2043.307      82.677        270      "Resistor SMD"                                                                                
Re2        7.68K              TopLayer    RES_0603                        2106.299      83.268        90       "Resistor SMD"                                                                                
Re1        40.2K              TopLayer    RES_0603                        1980.315      83.268        270      "Resistor SMD"                                                                                
Rd1        1K                 TopLayer    RES_0603                        394.291       169.291       360      "Resistor SMD"                                                                                
Rc2        10K                TopLayer    RES_0603                        692.913       436.417       270      "Resistor SMD"                                                                                
Rc1        10K                TopLayer    RES_0603                        618.110       436.417       270      "Resistor SMD"                                                                                
Ra4        1K                 TopLayer    RES_0603                        1763.780      523.622       270      "Resistor SMD"                                                                                
Ra3        499                TopLayer    RES_0603                        2029.153      846.457       90       "Resistor SMD"                                                                                
Ra2        200                TopLayer    RES_0603                        1409.449      812.992       270      "Resistor SMD"                                                                                
Ra1        "12K +- 1%"        TopLayer    RES_0603                        1125.984      915.354       180      "Resistor SMD"                                                                                
RcS        "0.01 Ohm 0.5W 1%" TopLayer    RES-SHUNT-0805                  742.126       246.063       90       Shunt                                                                                         
Q          ZXT11N20DF         TopLayer    TRANSISTOR_SOT23-3              1870.079      539.370       180      "Transistor NPN Low Saturation Vce"                                                           
La1        4.3nH              BottomLayer IND_0603                        1072.681      695.866       90       "Inductor SMD 0603"                                                                           
Le         "6.8uH 2.3A"       TopLayer    INDUCTOR_SRN5040                1830.709      332.677       90       Inductor_SRN5040                                                                              
J_UART     Connx4_UART        TopLayer    UART-1.27MM                     2003.937      708.661       180      "1.27mm Pin Header 4x1"                                                                       
J_Jumper   Jumper             TopLayer    JUMPER-1.27_MM                  1637.795      433.071       270      "2.54mm Pin Header 2x1"                                                                       
D_Phot     VBPW34S            TopLayer    BPW34S                          424.213       492.126       180      "Photodiode 850nm 25ns 120° 2-SMD, Gull Wing"                                                
D_LED      OVLGC0C6B9         TopLayer    LED                             2063.976      511.811       90       "LED Green-Blue 505nm"                                                                        
Cy2        22pF               TopLayer    CAP_0603                        832.283       916.142       270      "Capac Ceramic SMD"                                                                           
Cy1        22pF               TopLayer    CAP_0603                        1035.433      909.449       270      "Capac Ceramic SMD"                                                                           
Cf2        22uF               BottomLayer CAP_0603                        834.646       535.433       90       "Capac Ceramic SMD"                                                                           
Cf1        22uF               BottomLayer CAP_0603                        878.543       440.945       360      "Capac Ceramic SMD"                                                                           
Ce3        22uF               TopLayer    CAP_1210                        1646.653      244.862       90       "Capac Ceramic SMD"                                                                           
Ce2        1uF                TopLayer    CAP_0603                        2004.528      314.961       360      "Capac Ceramic SMD"                                                                           
Ce1        22uF               TopLayer    CAP_1210                        2334.646      384.646       0        "Capac Ceramic SMD"                                                                           
Cd3        100pF              TopLayer    CAP_0603                        138.386       561.811       180      "Capac Ceramic SMD"                                                                           
Cd2        100pF              TopLayer    CAP_0603                        394.291       102.362       180      "Capac Ceramic SMD"                                                                           
Cd1        4.7uF              TopLayer    CAP_0603                        330.709       279.528       270      "Capac Ceramic SMD"                                                                           
Cc1        4.7uF              BottomLayer CAP_0603                        789.370       322.835       360      "Capac Ceramic SMD"                                                                           
Cbus       22uF               TopLayer    CAP_1210                        807.087       413.386       90       "Capac Ceramic SMD"                                                                           
Ca2        100nF              BottomLayer CAP_0603                        1132.523      629.921       270      "Capac Ceramic SMD"                                                                           
Ca1        10uF               BottomLayer CAP_0603                        996.063       626.527       270      "Capac Ceramic SMD"                                                                           
